"","year","month","day","site","ipa","station","org_type","tax_group","species","species_count","mean_length_mm"
"1","2018","06","11","SHR","Armored",0,"Fish","Flatfish","Sand Sole",3,115
"2","2018","06","11","SHR","Armored",0,"Fish","Flatfish","Speckled Sand Dab",1,130
"3","2018","06","11","SHR","Armored",0,"Fish","Perch","Shiner Perch",3,89.6666666666667
"4","2018","06","11","SHR","Armored",0,"Fish","Pholidae","Saddleback Gunnel",1,150
"5","2018","06","11","SHR","Armored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",8,0
"6","2018","06","11","SHR","Armored",2,"Fish","Salmon","Chum",3,95
"7","2018","06","11","SHR","Natural",0,"Benthic invertebrate","Decapod","Helmet Crab",1,45
"8","2018","06","11","SHR","Natural",0,"Fish","Hexagrammidae","Lingcod",2,97.5
"9","2018","06","11","SHR","Natural",0,"Fish","Perch","Shiner Perch",1,110
"10","2018","06","11","SHR","Natural",1,"Fish","Salmon","Coho",1,120
"11","2018","06","11","SHR","Natural",2,"Fish","Salmon","Chum",44,36.6363636363636
"12","2018","06","11","SHR","Natural",2,"Fish","Salmon","Coho",1,100
"13","2018","06","11","SHR","Restored",0,"Fish","Salmon","Chinook",2,84
"14","2018","06","11","SHR","Restored",1,"Fish","Salmon","Chinook",2,86
"15","2018","06","11","SHR","Restored",2,"Pelagic invertebrate","Jellyfish","Jellyfish Sp",8,0
"16","2018","06","12","FAM","Armored",0,"Fish","Salmon","Chum",1,67
"17","2018","06","12","FAM","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",3,0
"18","2018","06","12","FAM","Armored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",12,0
"19","2018","06","12","FAM","Armored",2,"Fish","Forage Fish","Herring",17,48.4117647058824
"20","2018","06","12","FAM","Natural",0,"Benthic invertebrate","Decapod","Kelp Crab",1,59.5
"21","2018","06","12","FAM","Natural",0,"Fish","Forage Fish","Herring",1,49
"22","2018","06","12","FAM","Natural",0,"Fish","Hexagrammidae","Kelp Greenling",1,90
"23","2018","06","12","FAM","Natural",0,"Fish","Hexagrammidae","Lingcod",1,70
"24","2018","06","12","FAM","Natural",0,"Fish","Salmon","Chum",1,58
"25","2018","06","12","FAM","Natural",0,"Fish","Stichaeid","Snake Prickleback",1,150
"26","2018","06","12","FAM","Natural",1,NA,NA,"none",1,0
"27","2018","06","12","FAM","Natural",2,NA,NA,"none",1,0
"28","2018","06","12","FAM","Restored",0,"Fish","Cottidae","Buffalo Sculpin",1,31
"29","2018","06","12","FAM","Restored",0,"Fish","Pholidae","Saddleback Gunnel",1,103
"30","2018","06","12","FAM","Restored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",1,0
"31","2018","06","12","FAM","Restored",2,"Fish","Forage Fish","Herring",1,49
"32","2018","06","12","TUR","Armored",0,"Fish","Gadidae","Tom Cod",47,19.8085106382979
"33","2018","06","12","TUR","Armored",0,"Fish","Salmon","Pink",3,71.3333333333333
"34","2018","06","12","TUR","Armored",1,"Benthic invertebrate","Decapod","Helmet Crab",2,40
"35","2018","06","12","TUR","Armored",1,"Benthic invertebrate","Decapod","Hippolyte Sp",4,0
"36","2018","06","12","TUR","Armored",1,"Fish","Cottidae","Buffalo Sculpin",1,132
"37","2018","06","12","TUR","Armored",1,"Fish","Gadidae","Tom Cod",126,7.83333333333333
"38","2018","06","12","TUR","Armored",1,"Fish","Perch","Shiner Perch",1,79
"39","2018","06","12","TUR","Armored",1,"Fish","Pholidae","Gunnel Sp",1,0
"40","2018","06","12","TUR","Armored",2,NA,NA,"none",1,0
"41","2018","06","12","TUR","Natural",0,"Fish","Salmon","Pink",220,7.26818181818182
"42","2018","06","12","TUR","Natural",1,"Fish","Salmon","Pink",1,0
"43","2018","06","12","TUR","Natural",2,"Fish","Salmon","Pink",1,0
"44","2018","06","12","TUR","Restored",0,"Fish","Gadidae","Tom Cod",43,22.6046511627907
"45","2018","06","12","TUR","Restored",0,"Fish","Salmon","Pink",6,66.6666666666667
"46","2018","06","12","TUR","Restored",0,"Fish","UnID Fish","UnID Fish",2,59.5
"47","2018","06","12","TUR","Restored",1,"Fish","Rockfish","UnID Rockfish",1,53
"48","2018","06","12","TUR","Restored",1,"Fish","Salmon","Pink",89,15.6966292134831
"49","2018","06","12","TUR","Restored",2,"Benthic invertebrate","Decapod","Idotea",1,0
"50","2018","06","12","TUR","Restored",2,"Fish","Poacher","Poacher",1,35
"51","2018","06","12","TUR","Restored",2,"Fish","Salmon","Chum",1,79
"52","2018","06","12","TUR","Restored",2,"Fish","Salmon","Pink",17,84.9411764705882
"53","2018","06","12","TUR","Restored",2,"Pelagic invertebrate","Jellyfish","Jellyfish Sp",1,0
"54","2018","06","13","COR","Armored",1,"Fish","Forage Fish","Herring",1,125
"55","2018","06","13","COR","Armored",1,"Fish","Salmon","Chinook",1,97
"56","2018","06","13","COR","Armored",2,"Fish","Salmon","none",1,0
"57","2018","06","13","COR","Natural",1,"Fish","Perch","Shiner Perch",21,80.5714285714286
"58","2018","06","13","COR","Natural",1,"Fish","Perch","Striped Perch",2,220
"59","2018","06","13","COR","Natural",1,"Fish","Pholidae","Crescent Gunnel",5,87.6
"60","2018","06","13","COR","Natural",1,"Fish","Pholidae","Saddleback Gunnel",2,94
"61","2018","06","13","COR","Natural",1,"Fish","Salmon","Coho",1,94
"62","2018","06","13","COR","Natural",1,"Fish","Stichaeid","Snake Prickleback",5,137
"63","2018","06","13","COR","Natural",2,"Benthic invertebrate","Decapod","Kelp Crab",1,20
"64","2018","06","13","COR","Natural",2,"Fish","Salmon","Chinook",1,101
"65","2018","06","13","COR","Natural",2,"Fish","Salmon","Pink",1,85
"66","2018","06","13","COR","Restored",1,"Benthic invertebrate","Decapod","Dungeness Crab",1,180
"67","2018","06","13","COR","Restored",1,"Benthic invertebrate","Decapod","Helmet Crab",1,80
"68","2018","06","13","COR","Restored",1,"Benthic invertebrate","Decapod","Kelp Crab",1,25
"69","2018","06","13","COR","Restored",1,"Fish","Cottidae","Staghorn Sculpin",18,48.1666666666667
"70","2018","06","13","COR","Restored",1,"Fish","Perch","Shiner Perch",7,76.7142857142857
"71","2018","06","13","COR","Restored",1,"Fish","Pholidae","Crescent Gunnel",1,80
"72","2018","06","13","COR","Restored",1,"Fish","Pholidae","Saddleback Gunnel",1,110
"73","2018","06","13","COR","Restored",1,"Fish","Salmon","Chinook",6,79.8333333333333
"74","2018","06","13","COR","Restored",1,"Fish","Stichaeid","Snake Prickleback",7,151
"75","2018","06","13","COR","Restored",2,"Fish","Perch","Shiner Perch",2,81
"76","2018","06","13","COR","Restored",2,"Fish","Salmon","Chinook",2,83
"77","2018","06","13","COR","Restored",2,"Fish","Salmon","Coho",1,115
"78","2018","06","14","EDG","Armored",0,"Benthic invertebrate","Decapod","Kelp Crab",1,12
"79","2018","06","14","EDG","Armored",0,"Fish","Aulorhynchus","Tube Snout",1,146
"80","2018","06","14","EDG","Armored",0,"Fish","Flatfish","Sand Sole",1,86
"81","2018","06","14","EDG","Armored",0,"Fish","Perch","Shiner Perch",2,93
"82","2018","06","14","EDG","Armored",0,"Fish","Stichaeid","Stickleback",27,46.037037037037
"83","2018","06","14","EDG","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",20,3
"84","2018","06","14","EDG","Armored",1,NA,"salmon","none",1,0
"85","2018","06","14","EDG","Armored",2,"Fish","Salmon","Chinook",1,85
"86","2018","06","14","EDG","Natural",0,"Benthic invertebrate","Decapod","Dungeness Crab",7,53.2857142857143
"87","2018","06","14","EDG","Natural",0,"Fish","Perch","Shiner Perch",40,52.8
"88","2018","06","14","EDG","Natural",1,"Fish","Stichaeid","Stickleback",1,50
"89","2018","06","14","EDG","Natural",2,"Fish","Salmon","Chinook",1,107
"90","2018","06","14","EDG","Restored",0,"Benthic invertebrate","Decapod","Dungeness Crab",20,59.5
"91","2018","06","14","EDG","Restored",0,"Benthic invertebrate","Decapod","Kelp Crab",4,12.25
"92","2018","06","14","EDG","Restored",0,"Fish","Aulorhynchus","Tube Snout",2,140.5
"93","2018","06","14","EDG","Restored",0,"Fish","Flatfish","C-O Sole",1,70
"94","2018","06","14","EDG","Restored",0,"Fish","Flatfish","Sand Sole",8,87.5
"95","2018","06","14","EDG","Restored",0,"Fish","Perch","Shiner Perch",13,90.6153846153846
"96","2018","06","14","EDG","Restored",0,"Fish","Salmon","Chinook",1,80
"97","2018","06","14","EDG","Restored",0,"Fish","Stichaeid","Stickleback",1,68
"98","2018","06","14","EDG","Restored",1,"Fish","Salmon","Chinook",1,101
"99","2018","06","14","EDG","Restored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",10,3
"100","2018","06","14","EDG","Restored",2,NA,"fish","none",1,0
"101","2018","06","19","DOK","Armored",0,"Fish","Aulorhynchus","Tube Snout",1,182
"102","2018","06","19","DOK","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",60,3
"103","2018","06","19","DOK","Armored",0,"Pelagic invertebrate","Jellyfish","Moon Jelly",1,10
"104","2018","06","19","DOK","Armored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",40,0
"105","2018","06","19","DOK","Armored",1,"Pelagic invertebrate","Jellyfish","Moon Jelly",3,10
"106","2018","06","19","DOK","Armored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",50,0
"107","2018","06","19","DOK","Armored",2,"Pelagic invertebrate","Jellyfish","Moon Jelly",9,10
"108","2018","06","19","DOK","Natural",0,"Fish","Perch","Shiner Perch",1,80
"109","2018","06","19","DOK","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",10,10
"110","2018","06","19","DOK","Natural",0,"Pelagic invertebrate","Jellyfish","Moon Jelly",5,10
"111","2018","06","19","DOK","Natural",1,"Fish","Perch","Shiner Perch",10,81.1
"112","2018","06","19","DOK","Natural",1,"Fish","Salmon","Chinook",1,85
"113","2018","06","19","DOK","Natural",2,"Pelagic invertebrate","Jellyfish","Ctenophore",1,36
"114","2018","06","19","DOK","Natural",2,"Pelagic invertebrate","Jellyfish","Jellyfish Sp",20,10
"115","2018","06","19","DOK","Restored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",30,3
"116","2018","06","19","DOK","Restored",0,"Pelagic invertebrate","Jellyfish","Fried Egg Jelly",1,20
"117","2018","06","19","DOK","Restored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",20,3
"118","2018","06","19","DOK","Restored",1,"Pelagic invertebrate","Jellyfish","Moon Jelly",5,5
"119","2018","06","19","DOK","Restored",2,"Fish","Perch","Shiner Perch",1,81
"120","2018","06","19","DOK","Restored",2,"Fish","Salmon","Chinook",1,105
"121","2018","06","19","DOK","Restored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",30,3
"122","2018","06","19","DOK","Restored",2,"Pelagic invertebrate","Jellyfish","Moon Jelly",3,10
"123","2018","07","11","FAM","Armored",0,NA,NA,"none",1,0
"124","2018","07","11","FAM","Armored",1,NA,NA,"none",1,0
"125","2018","07","11","FAM","Armored",2,NA,NA,"none",1,0
"126","2018","07","11","FAM","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",10,0
"127","2018","07","11","FAM","Natural",0,"Pelagic invertebrate","Jellyfish","Moon Jelly",10,0
"128","2018","07","11","FAM","Natural",1,NA,NA,"none",1,0
"129","2018","07","11","FAM","Natural",2,NA,NA,"none",1,0
"130","2018","07","11","FAM","Restored",0,NA,NA,"none",1,0
"131","2018","07","11","FAM","Restored",1,NA,NA,"none",1,0
"132","2018","07","11","FAM","Restored",2,NA,NA,"none",1,0
"133","2018","07","11","TUR","Armored",0,"Benthic invertebrate","Decapod","Pandalid",1,6.2
"134","2018","07","11","TUR","Armored",0,"Benthic invertebrate","Decapod","UnID Shrimp",4,4.25
"135","2018","07","11","TUR","Armored",0,"Fish","Cottidae","Silver Spotted Sculpin",1,5
"136","2018","07","11","TUR","Armored",0,"Fish","Gadidae","Pacific Cod",4,6
"137","2018","07","11","TUR","Armored",0,"Fish","Gadidae","Tom Cod",3,6.23333333333333
"138","2018","07","11","TUR","Armored",0,"Fish","Hexagrammidae","Lingcod",1,10.2
"139","2018","07","11","TUR","Armored",0,"Fish","Perch","Shiner Perch",1,6.2
"140","2018","07","11","TUR","Armored",0,"Fish","Pholidae","Saddleback Gunnel",2,14.75
"141","2018","07","11","TUR","Armored",1,NA,NA,"none",1,0
"142","2018","07","11","TUR","Armored",2,NA,NA,"none",1,0
"143","2018","07","11","TUR","Natural",1,NA,NA,"none",1,0
"144","2018","07","11","TUR","Natural",2,NA,NA,"none",1,0
"145","2018","07","11","TUR","Restored",1,NA,NA,"none",1,0
"146","2018","07","11","TUR","Restored",2,NA,NA,"none",1,0
"147","2018","07","12","COR","Armored",0,NA,NA,"none",1,0
"148","2018","07","12","COR","Armored",1,NA,NA,"none",1,0
"149","2018","07","12","COR","Armored",2,NA,NA,"none",1,0
"150","2018","07","12","COR","Natural",0,"Benthic invertebrate","Decapod","Dungeness Crab",1,65
"151","2018","07","12","COR","Natural",0,"Fish","Forage Fish","Surf Smelt",1,117
